Product code,Bureau of Meteorology station number,Date,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,86232,6/3/2014,0,,Y
IDCJAC0009,86232,7/3/2014,0,,Y
IDCJAC0009,86232,8/3/2014,0,,Y
IDCJAC0009,86232,9/3/2014,0,,Y
IDCJAC0009,86232,10/3/2014,0,,Y
IDCJAC0009,86232,11/3/2014,0,,Y
IDCJAC0009,86232,12/3/2014,2,1,Y
IDCJAC0009,86232,13/3/2014,0,,Y
IDCJAC0009,86232,14/3/2014,0,,Y
IDCJAC0009,86232,15/3/2014,0,,Y
IDCJAC0009,86232,16/3/2014,7.2,1,Y
IDCJAC0009,86232,17/3/2014,0,,Y
IDCJAC0009,86232,18/3/2014,0,,Y
IDCJAC0009,86232,19/3/2014,0,,Y
IDCJAC0009,86232,20/3/2014,0,,Y
IDCJAC0009,86232,21/3/2014,0,,Y
IDCJAC0009,86232,22/3/2014,3.8,1,Y
IDCJAC0009,86232,23/3/2014,0.2,1,Y
IDCJAC0009,86232,24/3/2014,0,,Y
IDCJAC0009,86232,25/3/2014,0,,Y
IDCJAC0009,86232,26/3/2014,0,,Y
IDCJAC0009,86232,27/3/2014,5.2,1,Y
IDCJAC0009,86232,28/3/2014,8.2,1,Y
IDCJAC0009,86232,29/3/2014,0,,Y
IDCJAC0009,86232,30/3/2014,1,1,Y
IDCJAC0009,86232,31/3/2014,0,,Y
IDCJAC0009,86232,1/4/2014,0,,Y
IDCJAC0009,86232,2/4/2014,0,,Y
IDCJAC0009,86232,3/4/2014,0.6,1,Y
IDCJAC0009,86232,4/4/2014,0,,Y
IDCJAC0009,86232,5/4/2014,0,,Y
IDCJAC0009,86232,6/4/2014,0,,Y
IDCJAC0009,86232,7/4/2014,0,,Y
IDCJAC0009,86232,8/4/2014,0,,Y
IDCJAC0009,86232,9/4/2014,14.8,1,Y
IDCJAC0009,86232,10/4/2014,19.2,1,Y
IDCJAC0009,86232,11/4/2014,10.8,1,Y
IDCJAC0009,86232,12/4/2014,0.6,1,Y
IDCJAC0009,86232,13/4/2014,0,,Y
IDCJAC0009,86232,14/4/2014,0,,Y
IDCJAC0009,86232,15/4/2014,0,,Y
IDCJAC0009,86232,16/4/2014,0,,Y
IDCJAC0009,86232,17/4/2014,0,,Y
IDCJAC0009,86232,18/4/2014,0.2,1,Y
IDCJAC0009,86232,19/4/2014,2,1,Y
IDCJAC0009,86232,20/4/2014,0,,Y
IDCJAC0009,86232,21/4/2014,0,,Y
IDCJAC0009,86232,22/4/2014,6.8,1,Y
IDCJAC0009,86232,23/4/2014,4.8,1,Y
IDCJAC0009,86232,24/4/2014,0.6,1,Y
IDCJAC0009,86232,25/4/2014,0,,Y
IDCJAC0009,86232,26/4/2014,0,,Y
IDCJAC0009,86232,27/4/2014,0,,Y
IDCJAC0009,86232,28/4/2014,0,,Y
IDCJAC0009,86232,29/4/2014,0,,Y
IDCJAC0009,86232,30/4/2014,16,1,Y
